Selected Gene,Selected Gene name,Selected TSS,Overlapping Gene,Overlapping Gene name,Overlapping TSS
ENSG00000102547,CAB39L,49444064,ENSG00000136169,SETDB2,49444274
ENSG00000204899,MZT1,72727629,ENSG00000136122,BORA,72727923
ENSG00000120685,PROSER1,39038089,ENSG00000188811,NHLRC3,39038456
ENSG00000083535,PIBF1,72782133,ENSG00000083520,DIS3,72781900
ENSG00000136122,BORA,72727923,ENSG00000204899,MZT1,72727629
ENSG00000188811,NHLRC3,39038456,ENSG00000120685,PROSER1,39038089
ENSG00000083520,DIS3,72781900,ENSG00000083535,PIBF1,72782133
ENSG00000134871,COL4A2,110307284,ENSG00000187498,COL4A1,110307157
ENSG00000187498,COL4A1,110307157,ENSG00000134871,COL4A2,110307284
ENSG00000189167,ZAR1L,32315363,ENSG00000139618,BRCA2,32315508
ENSG00000134897,BIVM,102799119,ENSG00000134901,POGLUT2,102798976
ENSG00000123191,ATP7B,52011450,ENSG00000253710,ALG11,52012398
ENSG00000136169,SETDB2,49444274,ENSG00000102547,CAB39L,49444064
ENSG00000165480,SKA3,21176552,ENSG00000173141,MRPL57,21176658
ENSG00000173141,MRPL57,21176658,ENSG00000165480,SKA3,21176552
ENSG00000151773,CCDC122,43879740,ENSG00000179630,LACC1,43879904
ENSG00000179630,LACC1,43879904,ENSG00000151773,CCDC122,43879740
ENSG00000150401,DCUN1D2,113490711,ENSG00000150403,TMCO3,113491021
ENSG00000150403,TMCO3,113491021,ENSG00000150401,DCUN1D2,113490711
ENSG00000253710,ALG11,52012398,ENSG00000123191,ATP7B,52011450
ENSG00000126226,PCID2,113208669,ENSG00000139842,CUL4A,113209613
ENSG00000139842,CUL4A,113209613,ENSG00000126226,PCID2,113208669
ENSG00000134901,POGLUT2,102798976,ENSG00000134897,BIVM,102799119
ENSG00000083635,NUFIP1,44989471,ENSG00000133114,GPALPP1,44989538
ENSG00000133114,GPALPP1,44989538,ENSG00000083635,NUFIP1,44989471
ENSG00000139618,BRCA2,32315508,ENSG00000189167,ZAR1L,32315363
ENSG00000205726,ITSN1,33642501,ENSG00000205758,CRYZL1,33641741
ENSG00000205758,CRYZL1,33641741,ENSG00000205726,ITSN1,33642501
ENSG00000160208,RRP1B,43659560,ENSG00000160207,HSF2BP,43659488
ENSG00000154727,GABPA,25734972,ENSG00000154723,ATP5PF,25734904
ENSG00000185808,PIGP,37073071,ENSG00000182670,TTC3,37073254
ENSG00000160207,HSF2BP,43659488,ENSG00000160208,RRP1B,43659560
ENSG00000154723,ATP5PF,25734904,ENSG00000154727,GABPA,25734972
ENSG00000160294,MCM3AP,46285611,ENSG00000182362,YBEY,46286342
ENSG00000182362,YBEY,46286342,ENSG00000160294,MCM3AP,46285611
ENSG00000160298,C21orf58,46323870,ENSG00000160299,PCNT,46324156
ENSG00000159131,GART,33542117,ENSG00000159140,SON,33543038
ENSG00000182670,TTC3,37073254,ENSG00000185808,PIGP,37073071
ENSG00000160299,PCNT,46324156,ENSG00000160298,C21orf58,46323870
ENSG00000159140,SON,33543038,ENSG00000159131,GART,33542117
ENSG00000141665,FBXO15,74147834,ENSG00000075336,TIMM21,74148523
ENSG00000134779,TPGS2,36829002,ENSG00000150477,KIAA1328,36829127
ENSG00000141424,SLC39A6,36129340,ENSG00000134759,ELP2,36129899
ENSG00000134759,ELP2,36129899,ENSG00000141424,SLC39A6,36129340
ENSG00000197563,PIGN,62187056,ENSG00000134444,RELCH,62187255
ENSG00000150477,KIAA1328,36829127,ENSG00000134779,TPGS2,36829002
ENSG00000078043,PIAS2,46917507,ENSG00000167216,KATNAL2,46917602
ENSG00000134444,RELCH,62187255,ENSG00000197563,PIGN,62187056
ENSG00000177150,FAM210A,13726558,ENSG00000101654,RNMT,13726673
ENSG00000101654,RNMT,13726673,ENSG00000177150,FAM210A,13726558
ENSG00000075336,TIMM21,74148523,ENSG00000141665,FBXO15,74147834
ENSG00000101574,METTL4,2571505,ENSG00000080986,NDC80,2571557
ENSG00000080986,NDC80,2571557,ENSG00000101574,METTL4,2571505
ENSG00000167216,KATNAL2,46917602,ENSG00000078043,PIAS2,46917507
ENSG00000166845,C18orf54,54357906,ENSG00000174448,STARD6,54357858
ENSG00000174448,STARD6,54357858,ENSG00000166845,C18orf54,54357906
ENSG00000101624,CEP76,12702723,ENSG00000128789,PSMG2,12703042
ENSG00000128789,PSMG2,12703042,ENSG00000101624,CEP76,12702723
ENSG00000089101,CFAP61,20052532,ENSG00000101343,CRNKL1,20052466
ENSG00000132825,PPP1R3D,59940305,ENSG00000196227,FAM217B,59940389
ENSG00000101182,PSMA7,62143394,ENSG00000184402,SS18L1,62143769
ENSG00000184402,SS18L1,62143769,ENSG00000101182,PSMA7,62143394
ENSG00000196227,FAM217B,59940389,ENSG00000132825,PPP1R3D,59940305
ENSG00000126003,PLAGL2,32207743,ENSG00000101346,POFUT1,32207880
ENSG00000125871,MGME1,17969018,ENSG00000089006,SNX5,17968794
ENSG00000132801,ZSWIM3,45857614,ENSG00000101473,ACOT8,45857392
ENSG00000089006,SNX5,17968794,ENSG00000125871,MGME1,17969018
ENSG00000244005,NFS1,35699352,ENSG00000125995,ROMO1,35699405
ENSG00000125995,ROMO1,35699405,ENSG00000244005,NFS1,35699352
ENSG00000124116,WFDC3,45791883,ENSG00000101457,DNTTIP1,45791954
ENSG00000101457,DNTTIP1,45791954,ENSG00000124116,WFDC3,45791883
ENSG00000087586,AURKA,56392215,ENSG00000101138,CSTF1,56392645
ENSG00000101138,CSTF1,56392645,ENSG00000087586,AURKA,56392215
ENSG00000101247,NDUFAF5,13785028,ENSG00000089048,ESF1,13784919
ENSG00000124217,MOCS3,50958818,ENSG00000000419,DPM1,50958532
ENSG00000101343,CRNKL1,20052466,ENSG00000089101,CFAP61,20052532
ENSG00000124257,NEURL2,45891208,ENSG00000064601,CTSA,45891335
ENSG00000089048,ESF1,13784919,ENSG00000101247,NDUFAF5,13785028
ENSG00000000419,DPM1,50958532,ENSG00000124217,MOCS3,50958818
ENSG00000101246,ARFRP1,63707976,ENSG00000197114,ZGPAT,63708039
ENSG00000197114,ZGPAT,63708039,ENSG00000101246,ARFRP1,63707976
ENSG00000132635,PCED1A,2840655,ENSG00000215305,VPS16,2840745
ENSG00000215305,VPS16,2840745,ENSG00000132635,PCED1A,2840655
ENSG00000149599,DUSP15,31870527,ENSG00000131044,TTLL9,31870634
ENSG00000100983,GSS,34955806,ENSG00000078814,MYH7B,34955868
ENSG00000132664,POLR3F,18467390,ENSG00000089091,DZANK1,18467030
ENSG00000101473,ACOT8,45857392,ENSG00000132801,ZSWIM3,45857614
ENSG00000180383,DEFB124,31475127,ENSG00000088320,REM1,31475288
ENSG00000088320,REM1,31475288,ENSG00000180383,DEFB124,31475127
ENSG00000089195,TRMT6,5950533,ENSG00000125885,MCM8,5950652
ENSG00000125885,MCM8,5950652,ENSG00000089195,TRMT6,5950533
ENSG00000089091,DZANK1,18467030,ENSG00000132664,POLR3F,18467390
ENSG00000131044,TTLL9,31870634,ENSG00000149599,DUSP15,31870527
ENSG00000171700,RGS19,64079518,ENSG00000125510,OPRL1,64080082
ENSG00000101346,POFUT1,32207880,ENSG00000126003,PLAGL2,32207743
ENSG00000064601,CTSA,45891335,ENSG00000124257,NEURL2,45891208
ENSG00000125510,OPRL1,64080082,ENSG00000171700,RGS19,64079518
ENSG00000078814,MYH7B,34955868,ENSG00000100983,GSS,34955806
ENSG00000101407,TTI1,38033456,ENSG00000101413,RPRD1B,38033746
ENSG00000101413,RPRD1B,38033746,ENSG00000101407,TTI1,38033456
ENSG00000182858,ALG12,49918438,ENSG00000184164,CRELD2,49918634
ENSG00000100380,ST13,40856639,ENSG00000196236,XPNPEP3,40857148
ENSG00000196236,XPNPEP3,40857148,ENSG00000100380,ST13,40856639
